,ID,Text
25,Pic-RUS_07-f_Pr-T.zip,муж решил купить жене подарок пришёл в магазин такой смотрят чегото там выбирал выбирал ну в общем задумался прямо так весь аж вспотел не храм капельки на лбу вот и дети подошли к нему его же видимо дети неуверенно вот и да начали ему советую тому давая там этой лито может быть приобретёшь на пошёл почемуто неожиданно после этого в магазин сразу почему так к машинам ко кинко вот подошёл к машине разговаривая с продавцом продавец ему там советуют значит там рекламирует наверное машину там супер а там то хорошо это хорошо вот так прикинул видимо дорого получается денег не хватает ему вот но и в результате решил жене подарить такую же машинку но только маленькую такой видимо заводную мышь там какойнибудь рядом ключик крючочек там ключик там поворачиваются она ездит дети вот на заднем плане явно обалдевшая какието стоят а не по мне очень рады подарка
26,Pic-RUS_07-f_Ski-R.zip,
27,Pic-RUS_07-f_Ski-T.zip,тут значит видимо трагедия какаято мужчину утром проснулся видимо так и субботней воскресный день у него проснулся там начат встал пошёл позавтракал решил пойти кататься на лыжах на начал так день замечательно и тут вдруг неожиданно в конце какаято пьянка там они с друзьями собрались выпили но он уже пьяно сидит на стуле такой на пьяную голову решил думает пойду к сейчас покатаюсь тоже интересно там поискать приключений все дела но естественно упал переломал ноги руки весь значит какуюто синей весь вот друзья какие тут явно не медицинский пан работники унесли его кудато вот этим весь праздника закончат у него сломана нога оказался рука вот
28,Pic-RUS_08-f_Pr-R.zip,
29,Pic-RUS_08-f_Pr-T.zip,жилбыл на свете идеальный муж в день рожденья своей жены и он пошёл в магазин выбирать ей подарок ходил потом выходил во многим магазином но все посмотрел сумки всякий лампы кастрюли часы так ничего не выбрал целый день ходил аж вспотел ну решил обратиться за советом к своим детям дитем долг думаем говорят папам давайте кам мы купим машину чтоб задачу ездить заодно мою её подарят среди подумал баг побежал в магазин пришёл ему там ты очень понравилась одна машина у ней бугра осматривал к нему подошёл консультанта объяснил скука это все стоят папа отказался тактичным растерялся ва детский мир купил игрушечную машину ты подарил его своей жене потом
30,Pic-RUS_08-f_Ski-R.zip,жил был молодой человек да одевайся проснулся он както рано утром в восемь часов утра воскресеньем и решил пойти кататься на лыжах пока он там катался вдруг ну что буквально через час с у него означенного встретил его старыми друзьями мы пойдука я туда прям на лыжах тот малышка к этим друзья у них там тов сп тка пришлось выпить молодому человеку которого звали одеваюсь вы то глаза у него пошла кругом одному этот вращаться надо стал на лыжи и поехал с ним голова нет да педалью на голову ну в общем то он естественно свалился переломал себе руки сна с ногами прясла скорая помощь его в гибнут кротова да вывод ездили бы вы пьяным а выжав
31,Pic-RUS_08-f_Ski-T.zip,история про дядю васю дядя вася проснулся воскресенье восемь утра позавтракал поехала кататься на лыжах катался он катался и тут вспомнил что у него буквально через час встречу с его старыми друзьями ну думает заеду я к ним прям на лыжах приехал адам наливают выпил он со своими старыми друзьями не голова кругом пошла а домой ехать надо сел на лэм стал на лыжи и поехал у него голова пьяным адреналин адреналин в голову убил то значит прошёл дальше покататься ввиду большого ворог он съехал горы с горки сломал себе все конечности пот отсюда вывод не петю за ужином
32,Pic-RUS_09-f_Pr-R.zip,
33,Pic-RUS_09-f_Pr-T.zip,
34,Pic-RUS_09-f_Ski-R.zip,
35,Pic-RUS_09-f_Ski-T.zip,
36,Pic-RUS_10-f_Pr-R.zip,
37,Pic-RUS_10-f_Ski-R.zip,
